Product Description,Model Number,SKU,Dropship Pricing,Platform Selling Price,Profit,Margins,Ships Freight - Yes /No?
4 inch DUCAR 212cc 7hp Gas Engine Powered Wood Chipper with Towbar,GS650,110100,"$1,039.00","$1,299.00",260.00,20%,Yes
HONDA GX200 Gasoline Engine Powered 4 inch Wood Chipper,GS650,110101,"$1,439.00","$1,799.00",360.00,20%,Yes
5 inch E-start DUCAR 420cc Gasoline Engine Powered Wood Chipper,GS1500,110200/110200Y,"$1,699.00","$2,099.00",400.00,19%,Yes
5 inch E-start KOHLER 429cc Gasoline Engine Powered Wood Chipper,GS1500,110200K,"$1,999.00","$2,499.00",500.00,20%,Yes
5 inch E-start DUCAR 420cc 15hp Gasoline Engine Powered Drum Wood Chipper with Towbar,PGS1500,110400,"$1,599.00","$2,099.00",500.00,24%,Yes
5 inch E-start DUCAR 420cc 15hp Gasoline Engine Powered Disc Wood Chipper with Taillight,P4205,110602/110602Y,"$1,799.00","$2,299.00",500.00,22%,Yes
5 inch E-stat KOHLER 429cc 14hp Gasoline Engine Powered Disc Wood Chipper with Taillight,P4205,110601,"$2,199.00","$2,799.00",600.00,21%,Yes
6 inch E-start ZONSEN 459cc 15hp Gasoline Engine Powered Drum Wood Chipper,P4206,110802/110802R/110802Y,"$1,899.00","$2,399.00",500.00,21%,Yes
6 inch E-start B&S VANGUARD 408cc 14hp Gasoline Engine Powered Drum Wood Chipper,P4206,110801/110801Y,"$2,199.00","$2,799.00",600.00,21%,Yes
6 inch ZONSEN E-Start 459cc 15hp Gas Powered 4 - Wheel Drum Wood Chipper with Taillight,B150,110803/110803Y,"$2,099.00","$2,599.00",500.00,19%,Yes
6 inch KOHLER E-Start 429cc 14HP Gas Powered 4 - Wheel Drum Wood Chipper with Taillight,B150,110804,"$2,399.00","$2,999.00",600.00,20%,Yes
6 inch HONDA E-Start Gasoline Engine Powered 4 - Wheel Drum Wood Chipper with Taillight,B150,110805,"$2,799.00","$3,499.00",700.00,20%,Yes
8 inch ZONSEN E-Start 1000cc 35hp Gas Powered 4 - Wheel Drum Wood Chipper with Taillight,B200,110810,"$2,899.00","$3,599.00",700.00,19%,Yes
8 inch HONDA E-Start 688cc 22hp Gas Powered 4 - Wheel Drum Wood Chipper with Taillight,B200,110811,"$4,299.00","$5,399.00","1,100.00",20%,Yes
25hp 750cc Twin Cylinder ZONSEN Petrol Engine 7” Hydraulic Feeding Wood Chipper,DCH7,110700,"$5,399.00","$6,399.00","1,000.00",16%,Yes
HONDA GX690 22HP 688cc Twin Cylinder Gasoline Engine Powered 7” Hydraulic Feeding Wood Chipper,DCH7,110700H,"$7,099.00","$8,599.00","1,500.00",17%,Yes
35hp 1000cc ZONSEN E-Start 8 inch Gas Powered Commerical Wood Chipper with Intelligent Hydraulic Feeding System,TX1000,110701,"$11,999.00","$14,699.00","2,700.00",18%,Yes
MechMaxx 15HP 420cc Gasoline Engine Tree Stump Root Grinder,SGR1500,130200,"$1,399.00","$1,799.00",400.00,22%,Yes
15 inch 15HP 420cc DUCAR E-Start Stump Grinder with Tow Bar,SG380,130300/130300R,"$1,599.00","$2,099.00",500.00,24%,Yes
15-inch 14hp 429cc KOHLER E-Start Stump Grinder with Tow Bar,SG380,130400/130400Y,"$1,999.00","$2,599.00",600.00,23%,Yes
MechMaxx 7HP Gas Powered Cable Ditching Mini Trencher,TCR650,120100,"$2,099.00","$2,299.00",200.00,9%,Yes
"15HP 420cc E-Start Powered 24"" Ditching Trencher",TCR1500,120200/120200R,"$2,099.00","$2,699.00",600.00,22%,Yes
14HP 429cc KOHLER E-start 24'' Ditching Mini Trencher,TCR1500,120201/120201R,"$2,399.00","$2,999.00",600.00,20%,Yes
T25,T25,100101,"$1,499.00","$1,899.00",400.00,21%,Yes
660lbs Capacity 7HP Gas Powered Wheelbarrow Cart T30 3F+1R Gearbox,T30,100200,"$1,499.00","$1,899.00",400.00,21%,Yes
MechMaxx 1100Lbs Load Capacity Petrol Engine Powered Track Mini Dumper,D50MA,100500,"$2,499.00","$3,199.00",700.00,22%,Yes
1800lb 420cc E-start Gas Engine Stand-ON Hydraulic Track Dumper with Self-Loading,T80FL,101300,"$5,039.00","$6,299.00","1,260.00",20%,Yes
"MechMaxx 1100Lbs Loading Battery Powered Barrow Electric Mini Dumper for Sale, 1000W 48V Brushless DC Motor",E50,101200,"$1,659.00","$2,399.00",740.00,31%,Yes
1100lb Loading 1000W DC Motor 48V Battery Powered Hydraulic Tipping Dump Cart,EH50,101201,"$1,799.00","$2,799.00","1,000.00",36%,Yes
"Mini Skid Steer Stand On Compact Track Loader ( 4 in 1 bucket included ) with 25HP KUBOTA D1105 Diesel Engine, Common Industry Interface (CII)",STL1000,101000,"$20,000.00","$22,999.00","2,999.00",13%,Yes
"44'' Mini Skid Steer Rock Bucket, 25'' Overall Depth",RBT44,150505,$779.00,$799.00,20.00,3%,Yes
36'' Boom Length Mini Skid Steer Lifting Jib,LJ36,150510,$499.00,$699.00,200.00,29%,Yes
"36'' Mini Skid Steer Pallet Fork Frame Attachment, 2204 lb Weight Capacity",PF36,150511,$799.00,$859.00,60.00,7%,Yes
16'' Cutting Width Mini Skid Steer Stump Bucket,,150513,$799.00,$899.00,100.00,11%,Yes
300ft-lbs Hydraulic Mini Skid Steer Concrete Breaker Hammer Attachment,BR300,150514,"$2,099.00","$2,699.00",600.00,22%,Yes
36'' Max Opening Mini Skid Steer Stump Grapple Bucket,SGB36,150515,"$1,399.00","$1,699.00",300.00,18%,Yes
44'' Mini Skid Steer Land leveler,LLR44,150516,$769.00,$829.00,60.00,7%,Yes
"42'' Mini Skid Steer Brush Cutter, Hydraulic Motor",BC42,150517,"$2,399.00","$2,999.00",600.00,20%,Yes
44'' Mini Skid Steer Timber Grab 24'' Max Opening,TG44,150518,"$1,599.00","$1,799.00",200.00,11%,Yes
"44” 4-In-1 Combo Mini Skid Steer Bucket Attachment With Quick Attach, Universal Mount",BT44,150504,"$1,599.00","$1,899.00",300.00,16%,Yes
57'' Hydraulic Mini Skid Steer Dozer Blade,HDB57,150520,"$1,599.00","$1,999.00",400.00,20%,Yes
20'' Cutting Depth Mini Skid Steer Trencher,TR20,150521,"$2,299.00","$2,899.00",600.00,21%,Yes
20'' Width Mini Skid Steer Rock Grapple Bucket,RGB44,150522,"$1,299.00","$1,399.00",100.00,7%,Yes
40'' Mini Skid Steer Scarifier,SC40,150523,$639.00,$699.00,60.00,9%,Yes
"Mini Skid Steer Drive Auger with 6"" , 9"" , 12"" Dia. Auger Bits",,150506,"$2,799.00","$3,299.00",500.00,15%,Yes
